fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9.0,6
6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,6
7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10.0,5
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,5
6.0,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10.0,6
6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7
6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
